year,stationName,ridership,longitude,latitude
2016,Xinpu,13974432,121.46798702828231,25.022995948446365
2016,Jiangzicui,8851344,121.4722367606001,25.029904942785876
2016,Longshan Temple,10200498,121.50122086189029,25.035229130503158
2016,Ximen,26381024,121.50848773359857,25.042212597087047
2016,Shandao Temple,7417326,121.5233401885831,25.044813009018718
2016,Zhongxiao Xinsheng,12012782,121.53291875841308,25.042354841091935
2016,Zhongxiao Dunhua,14141274,121.54965595628077,25.04149480094372
2016,Sun Yat-Sen Memorial Hall,7926718,121.5576889492678,25.04134746745301
2016,Taipei City Hall,21404187,121.5652594540565,25.04117889109046
2016,Yongchun,6755564,121.57587285864736,25.040863616679307
2016,Houshanpi,5928244,121.58200407698276,25.04427855362814
2016,Kunyang,4889404,121.5930201123863,25.050188656620406
2016,Nangang,4924275,121.60763420834738,25.052178378321834
2016,Xiangshan,3653792,121.57066633691176,25.032793324340496
2016,Taipei101/World Trade Center,11376426,121.56349009453884,25.03297947915487
2016,Xinyi Anhe,5724467,121.55323253075672,25.03315004254659
2016,Daan Park,2924304,121.5353080284314,25.03353525107303
2016,Beimen,2747196,121.5102786459113,25.049294237623993
2016,Songjiang Nanjing,11903828,121.53304925954893,25.052024514344147
2016,Taipei Arena,7446564,121.55200315528758,25.05164724218637
2016,Nanjing Sanmin,7264060,121.5643968828404,25.05143632091201
2016,Songshan,7561573,121.57773339237647,25.050001706485414
2016,Fu Jen University,3896054,121.43581241981629,25.032768730074984
2016,Xinzhuang,3945764,121.45231789675648,25.03614790870418
2016,Touqianzhuang,1683772,121.46162455915298,25.03960733108286
2016,Xianse Temple,1382228,121.4721227936169,25.04652687090844
2016,Sanchong,1596466,121.48394655537149,25.05559949906261
2016,Cailiao,3265604,121.49113831824576,25.059648334719515
2016,Taipei Bridge,3279824,121.49986798026123,25.062943649795628
2016,Daqiaotou,4330307,121.51284877945061,25.062922384403873
2016,Zhongshan Elementary School,5772168,121.5276644722842,25.062650999595398
2016,Xingtian Temple,9378888,121.53315637381542,25.057966034949423
2016,Dongmen,8863028,121.52832177315834,25.033927618168192
2016,Luzhou,4202878,121.46435733713015,25.091563669599626
2016,Sanmin Senior High School,4250224,121.47324093434406,25.085670389689398
2016,St. Ignatius High School,4233428,121.4796160953184,25.08074178667732
2016,Sanhe Junior High School,4094428,121.48634726047001,25.0768077912848
2016,Sanchong Elementary School,4122146,121.49744089647399,25.069935147639686
2016,Huilong,3100520,121.41266279325664,25.02251715705777
2016,Danfeng,3016504,121.4226990725201,25.028921091574322
2016,Shisizhang,0,121.52868133414427,24.983975049022394
2016,Xiulang Bridge,0,121.52412027765467,24.99046028425729
2016,Jingping,0,121.5159472146019,24.9921677687474
2016,Zhonghe,0,121.49685451610128,25.001725087459377
2016,Qiaohe,0,121.49022630210679,25.004590667817993
2016,Zhongyuan,0,121.48335433974322,25.008508753264476
2016,Banxin,0,121.47293039513582,25.014002570888305
2016,Y-Banqiao,0,121.46469,25.01554
2016,Xinpu Minsheng,0,121.46697,25.0263
2016,Xingfu,0,121.45990194656648,25.049783726031855
2016,New Taipei Industrial Park,0,121.45957785560667,25.061081616149394
2017,Songshan Airport,2019020,121.55163511046534,25.063104462027813
2017,Zhongshan Junior High School,5160555,121.54421643863033,25.06080611270273
2017,Nanjing Fuxing,12601508,121.54403933590369,25.052292279432056
2017,Zhongxiao Fuxing,17883808,121.54379399916067,25.041602162432408
2017,Daan,8232428,121.5436261083644,25.0328205730737
2017,Technology Building,4992538,121.54345147194539,25.025991976477005
2017,Liuzhangli,3908393,121.55305797318083,25.023844875733175
2017,Linguang,1472554,121.55882703203744,25.018523230734115
2017,Xinhai,1060546,121.55701024355297,25.005383562847964
2017,Wanfang Hospital,4815575,121.55802856133452,24.999504452038764
2017,Wanfang Community,778655,121.56806667867862,24.998607713500114
2017,Muzha,1463755,121.57317598186135,24.998253352528412
2017,Taipei Zoo,2832129,121.57932507629135,24.99827748528025
2017,Dazhi,3264824,121.54814855983457,25.080477334160324
2017,Jiannann Rd.,4062106,121.55560715358948,25.08489845647162
2017,Xihu,5169702,121.5672124577793,25.08216141473821
2017,Gangquian,4745826,121.57528311843348,25.079995003678402
2017,Wende,1862339,121.58496851543221,25.078533106268527
2017,Neihu,2877688,121.59420587019453,25.083505565019824
2017,Dahu Park,1188051,121.6023129070467,25.08380866638897
2017,Huzhou,2745004,121.60724154576957,25.072689271218778
2017,Donghu,2823320,121.61173723205351,25.06757795298427
2017,Nangang Software Park,1535694,121.61595418159499,25.0598989938964
2017,Taipei Nangang Exhibition Center,9778630,121.61762249277858,25.0545656791777
2017,Xiaobitan,855678,121.53529784254445,24.969554205353514
2017,Xindian,4290187,121.53761004105189,24.957871647770506
2017,Xindian District Office,3876551,121.54129865593423,24.9673944308081
2017,Qizhang,5701540,121.54291090576598,24.975082925897777
2017,Dapinglin,7159308,121.5413660346038,24.98291383339667
2017,Jingmei,5739005,121.5409209921252,24.993178356596204
2017,Wanlong,3333923,121.53900226954173,25.00196532519868
2017,Gongguan,10772404,121.53434703188556,25.01470748237314
2017,Taipower Building,6720224,121.52818732580072,25.02069268144765
2017,Guting,10977766,121.52256794084464,25.026885634859767
2017,Chiang Kai-Shek Memorial Hall,10487794,121.51704931955275,25.03427427019356
2017,Xiaonannmen,3047370,121.510781764249,25.035672778690685
2017,Dingxi,12743068,121.51544988024695,25.0136186456844
2017,Yongan Market,9285696,121.51112538697048,25.00255587953482
2017,Jingan,8653924,121.5050907781828,24.993922031758036
2017,Nanshijiao,7443270,121.50917264645942,24.99040853151986
2017,NTU Hospital,7896656,121.51622007732429,25.041827029154884
2017,Taipei Main Station,57493558,121.5174380246453,25.046233083441123
2017,Zhongshan,14035784,121.52039689994804,25.052675664748175
2017,Shuanglian,7877544,121.52070999301614,25.05764686024377
2017,Minquan W. Rd.,8252907,121.51936274027929,25.06287666536337
2017,Yuanshan,9734158,121.52013178478053,25.071380222093712
2017,Jiantan,12711818,121.52496914164323,25.084236417468688
2017,Shilin,10303008,121.52619154203938,25.093473979666292
2017,Zhishan,8252392,121.52254228458312,25.10281102722776
2017,Mingde,4255317,121.51882040916377,25.10979393588559
2017,Shipai,10550738,121.51564228487027,25.114420305321463
2017,Qilian,2582556,121.5062648104665,25.12085794562379
2017,Qiyan,3017229,121.50108298243138,25.125584855497433
2017,Beitou,6200227,121.49859115986241,25.131907048775716
2017,Xinbeitou,2396886,121.50253117138534,25.136936401899067
2017,Fuxinggang,1224496,121.48520813535161,25.137446811852804
2017,Zhongyi,961315,121.4731222409703,25.13075088521668
2017,Guandu,4238912,121.46719972493716,25.12578471313959
2017,Zhuwei,3336938,121.45945645181078,25.13694903321136
2017,Hongshulin,2402262,121.45895451204613,25.154114157533733
2017,Tamsui,13957097,121.4452583081884,25.167993283329395
2017,Dingpu,2672352,121.41927,24.95975
2017,Yongning,4333223,121.43682729636676,24.967220823923835
2017,Tucheng,2468568,121.4444515781318,24.97322601982389
2017,Haishan,7366084,121.44887528615253,24.985548276090636
2017,Far Eastern Hospital,7026269,121.45264887598302,24.998589027397475
2017,Fuzhong,10304902,121.45921891977315,25.008934844943454
2017,BL-Banqiao,14979502,121.46242,25.01409
2017,Xinpu,13761718,121.46798702828231,25.022995948446365
2017,Jiangzicui,8910000,121.4722367606001,25.029904942785876
2017,Longshan Temple,10540596,121.50122086189029,25.035229130503158
2017,Ximen,26961921,121.50848773359857,25.042212597087047
2017,Shandao Temple,7420758,121.5233401885831,25.044813009018718
2017,Zhongxiao Xinsheng,11498281,121.53291875841308,25.042354841091935
2017,Zhongxiao Dunhua,13749748,121.54965595628077,25.04149480094372
2017,Sun Yat-Sen Memorial Hall,7876998,121.5576889492678,25.04134746745301
2017,Taipei City Hall,22106306,121.5652594540565,25.04117889109046
2017,Yongchun,6738522,121.57587285864736,25.040863616679307
2017,Houshanpi,5849990,121.58200407698276,25.04427855362814
2017,Kunyang,4770782,121.5930201123863,25.050188656620406
2017,Nangang,5831346,121.60763420834738,25.052178378321834
2017,Xiangshan,3852162,121.57066633691176,25.032793324340496
2017,Taipei101/World Trade Center,11587536,121.56349009453884,25.03297947915487
2017,Xinyi Anhe,5899586,121.55323253075672,25.03315004254659
2017,Daan Park,3129511,121.5353080284314,25.03353525107303
2017,Beimen,3713845,121.5102786459113,25.049294237623993
